"Good morning, good afternoon, good evening and good night!",NULL,"Yes, my blog has a new home, and by some weird twist of fate, you've stumbled upon it.  It could also be that you followed the link from my old blog.
<!--break-->
A little ironically, this is actually more of a homecoming for my blog; see, for now, it's hosted by myself on my Linux box, which is where my Soapbox first started back in the summer of 2005.  I lost that in a hard disk crash (probably; I can't quite remember, and they seem to happen to me quite a bit.  I'm unlucky that way.) and from the flames, the phoenix of the appropriately-titled Soapbox 2.0 arose, generously hosted by the University of Warwick.  Falling in and out of use at various points over a period of about two years, I finally gave up on it in January this year (well, that's when the last post was, at least), wanting to do something more with it than I was able to on the Warwick Blog system.  

What is that I want to do that I couldn't do previously?  Well, I have a large number of interests, such as music, coding (which also happens to be my job), and films to name but a few, and I wanted to be able to blog about these in a more separate manner than I was able previously; to be able to maintain separate blogs for each, almost.  I also wanted to put together a personal website, something more than just a blog.  We'll see how well that turns out.  

I'm also hoping that this will serve to improve my skills as a developer.  In his recent <a href=""http://www.codinghorror.com/"">Coding Horror</a> post on <a href=""http://www.codinghorror.com/blog/archives/001138.html"">Code Kata</a>, Jeff Atwood lists as one of his own two Kata steps maintaining a blog, so you, dear reader, are part of a grand experiment!  To this end, I expect the coding section to expand the most rapidly, and so I apologise to all my non-technical readers who may be turned off by this.  I'll do my best to keep the other sections updated frequently too."
Message Passing in a Plug-in Framework,NULL,"I've been running a couple of coding projects at home over the last couple of months, one of which is a personal finance program.  I've used this as an experiment in new technologies (mainly .Net 3.0/3.5 stuff, including LINQ and WPF/XAML), as well as one in architecture and design patterns.  The program is based around a plug-in architecture and the time has come to consider message-passing between plug-ins; for example, I need non-storage plug-ins to inform storage plug-ins when their data has changed, and what data has changed, so that the storage plug-ins can schedule these changes for serialisation to their storage format (be it an SQLite database, an XML file, or whatever).
<!--break-->
The plug-in framework enables the loading of different classes of plug-ins, each with their own interface; for example, there is a class of plug-in for accounts, one for reports, two for file type support (import and export), etc.  The framework provides the environment for loading and interacting with plug-ins, the necessary interfaces etc. for coding plug-ins against, managing of preferences and logging, etc., etc., etc., ad nauseam.  It is a mediator and arbitrator between the plug-ins which provide the real meat of the application.  

The project has now got to the point where I need to be able to pass messages around the framework, between plug-ins.  The immediate solution that sprung to mind was the classic publish/subscribe model, so I duly looked into the <a href=""http://www.wikipedia.org/wiki/Observer_Pattern"" title=""Wikipedia article on the Observer design pattern"">Observer pattern</a>, a manual implementation of publish/subscribe.  This feels wrong in that it doesn't seem to provide a way for plug-ins to register new notification types (e.g., BeforeDataChange =&gt; ""if you need to do something before you update your data, now is your chance"") under defined categories of events, let alone define new categories.  Solution #1 scrapped.  

I thought I'd cracked it with my next possible solution, the Blackboard pattern, which is based around the idea of cops solving a crime; the policemen post different bits of information and evidence on a central blackboard and infer further information in the form of links and relationships between the items.  This approach has historically been used to great effect in AI systems, such as OCR, speech recognition, etc., but didn't feel quite right for this scenario.  However, I didn't like the idea of posting up all these changes for the entire application to see, when the message was intended for a particular set of recipients.  Solution #2 scrapped.  

So I revisited publish/subscribe, this time with .Net events.  A .Net event is just a special case of the .Net idea of a delegate, or callback, method; it is an analogue to a function pointer for those of you in the C++ world, although it has to be said that this metaphor quickly breaks down as delegates also have an object representation that makes the more than just pointers.  They give you multi-casting for free, as callback methods are assigned to delegates using the ""+="" operator, building a list of methods invoked by calling the delegate.  I thought maybe I could leverage the object-ness of delegates to implement categories via inheritance, but it turned out this wasn't possible (probably A Good Thing™).

Events don't seem to play nicely with my proposed model of using a broker class to mediate the publications and subscriptions.  The broker should store a list of published actions, and plug-ins should be able to retrieve the list of published actions in order to subscribe to a subset of them.  I may need to go down the path of a custom solution (such as porting the Message Manager from my fourth-year project), which is not very <abbr title=""Don't Repeat Yourself"">DRY</abbr>, but should give me a greater level of decoupling in the architecture than I think an events-based model will give me."
Lesson #2,NULL,"I learned my second lesson from this blog today.  What was the first, you might ask?  <a href=""http://www.alastairsmith.me.uk/random-stuff/2008/06/24/good-morning-good-afternoon-good-evening-and-good-night.html#comment-5"" title=""&quot;Good morning, good afternoon, good evening and good night&quot;, comment no. 4"">The importance of peer code reviews</a>, and I learnt this pretty much as soon as I'd started.  

The second lesson was to improve my writing style!  After a comment or two on <a href=""http://www.alastairsmith.me.uk/coding/2008/06/25/message-passing-a-plug-framework.html"" title=""Message Passing in a Plug-in Framework"">my last post</a> (in conversation rather than via the blog itself), it appears that I didn't explain the situation particularly clearly.  I will try not not be so arrogant as to assume that my readers know what I'm talking about all the time!
<!--break-->
This is actually an interesting discussion topic.  I've found at work, and in team projects at University, that technical communication is easily hampered by not clearing the path and providing sufficient context to the discussion.  Particularly with intra-team communications, it's very easy to assume that everyone is familiar with the topic about which you are conversing.  In <i>The Pragmatic Programmer: From Journeyman to Master</i>, Andy Hunt and David Thomas define the following ""acrostic"" as a useful framework for pitching your conversations:
<pre>
                    <span class=""key"">W</span>hat do you want them to learn?
               What <span class=""key"">I</span>s their interest in what you have to say?
                How <span class=""key"">S</span>ophisticated are they?
           How much <span class=""key"">D</span>etail do they want?
Whom do you want to <span class=""key"">O</span>wn the information?
        How can you <span class=""key"">M</span>otivate them to listen to you?
</pre>

There are &mdash; count them &mdash; only six questions here to ask yourself, and they take only a couple of moments to run through mentally whilst preparing for some form of communication.  With a bit of practice, it can even be done in conversation (and should certainly be done before starting a conversation).  The steps, like much of the advice Hunt and Thomas impart, are simple, logical and sensible: identify your objective, identify your audience and their level of knowledge, and identify the key stakeholders.  

I'll post a full review of <i>The Pragmatic Programmer</i> when I've finished reading it, hopefully in the next couple of weeks or so, but I can say now that this is one book that every fresh graduate programmer should read.  I'll also form a recommended reading list, but for now it looks suspiciously like <a href=""http://www.codinghorror.com/blog/archives/000020.html"" title=""Coding Horror: Recommended Reading for Developers"">Jeff Atwood's</a>."
Chicago,NULL,"[4/5]
2002's <i>Chicago</i>, directed by Bob Marshall, is an excellent and faithful adaptation of Kander and Ebb's musical, and seemingly kick-started a small, slow revival in musical cinema (such as 2005's <i>The Producers</i> and 2007's <i>Sweeney Tood</i>).

Set in 1920's Chicago, the plot follows the lives of Velma Kelly (Catherine Zeta-Jones) and Roxie Hart (Renée Zellweger) after they are charged with murder, Velma for a double homicide after finding her husband in bed with her sister (with whom she performed in a Vaudeville act) and Roxie for the murder of her lover (after she discovers that he wasn't going to make her the Vaudeville star he'd promised).
<!--break-->
As Roxie arrives on Murder Row in Cook County, Illinois, Matron ""Mama"" Morton (Queen Latifah) is helping Velma re-build her career in advance of her acquittal thanks to lawyer Billy Flynn (Richard Gere).  Roxie, a wanna-be Vaudeville star, seizes her chance, and Velma's lawyer, and starts to make a name for herself as the latest celebrity murderess.  It is on this journey that Roxie's true colours really shine, as we follow her into a deeper web of lies, corruption and greed until we reach the conclusion that crime really does pay.  

The murders, therefore, are rather incidental to the rest of the plot.  <i>Chicago</i> is a satire on the concept of the celebrity criminal and corruption in Chicago in the 1920s, and works brilliantly as such.  I'm yet to see the show on stage, but Marshall has transported it well across media, with more than a few numbers feeling as though they are on Broadway rather than the big screen; however, the vastly larger budget has been well spent on authentic costumes, sets and even computer graphics to really bring the characters and prohibition-era Chicago to life.  The media of film also allows Marshall to carry off some of the numbers perhaps more effectively than is possible on stage: for example, Mama's entry (<i>When You're Good to Mama</i>) neatly cuts between a Cabaret-style stage show and the prison where she is welcoming her new charges.  

As with <i>Sweeney Todd</i>, a number of cuts had to be made from the original score, and, seemingly, some new music was added too.  The story unfolds in a manner that is faithful to the original plot with no re-telling, but it is paraphrased here and there, so fans of the musical may be mildly disappointed by this.  The singing, too, is of a good standard: convincing, but not Broadway.  

I do have one minor criticism of the film, and it's one that will never really be addressed, due to the logistics of shooting such a picture.  Whilst the cast do all their own singing, I was disappointed to see that the scenes were mimed with the soundtrack over-dubbed.  I should really have come to expect this as it's rather become accepted technique given the complexities of recording an <i>n</i>-piece jazz orchestra and singer(s) as well as all the visual recording too.  All in all, it doesn't detract from the quality of the film in any meaningful sense unless you're an ultra-purist, and the technique does have the added advantage of providing a uniform sound/mix throughout the film such as you would get seeing this show at the West End or on Broadway.  

In summary, then, this is an excellent adaptation, with some good performances and innovative direction.  Purists may be a little disappointed, but it is an enjoyable picture with fabulous sets and costumes, not to mention a toe-tapping soundtrack and a dry wit."
PTP/IP,NULL,"[img_assist|nid=8|link=node|align=left|width=190|height=200]...or Pigeon Transport Protocol/Internet Protocol.  <a href=""http://www.faqs.org/rfcs/rfc1149.html"" title=""RFC 1149: A Standard for the Transmission of IP Datagrams on Avian Carriers""><abbr title=""Request for Comments"">RFC</abbr> 1149</a> defines a standard for the transmission of IP datagrams on avian carriers.  That is, computer networks run by carrier pigeon.

From the overview,

<blockquote>Avian carriers can provide high delay, low throughput, and low altitude service. &hellip; The carriers have an intrinsic collision avoidance system, which increases availability.  </blockquote>
<!--break-->
The <abbr title=""Request for Comments"">RFC</abbr> goes on to describe the frame format, which consists of hexadecimal printed in octets, ""separated by whitestuff and blackstuff"", on a small scroll of paper which is then wrapped around one leg of the avian carrier.  Unfortunately, the bandwidth of the protocol is limited by the length of the carrier's leg, but as IP is best-effort only the loss of a carrier is tolerable.  

Whilst security is not generally a problem (with the exception of military implementations), the respected security expert Bruce Schneier appears to have <a href=""http://www.schneier.com/blog/archives/2008/06/carrier_pigeons.html"" title=""Schneier on Security: Carrier Pigeons Bringing Contraband into Prisons"">found the first vulnerability in the protocol</a>.

Many thanks to David Waitzman for this bit of silliness, who has even gone so far as to amend the original <abbr title=""Request for Comments"">RFC</abbr> to include <a href=""http://www.faqs.org/rfcs/rfc2549.html"" title=""IP over Avian Carriers with Quality of Service""><abbr title=""Quality of Service"">QoS</abbr></a>.  And yes, RFC 1149 was an April Fool."
Comments Problem,NULL,"So it seems there's currently a problem with the comments' system.  First of all, <a href=""http://en.wikipedia.org/wiki/DON%27T_PANIC!"" title=""Wikipedia Article on The Hitchhiker's Guide to the Galaxy"">DON'T PANIC!</a>  Your awesome comments are being posted correctly, and are making it through to the moderation queue fine (or being posted if you've got an account).
<!--break-->
The bad news is the Akismet anti-spam module I've installed is in beta for Drupal 6 at the moment, and an error in the module is causing the screen to go blank when you hit ""Save"" to publish your awesome comment.  

If you want the technical detail, a function that this module called has been removed from the Drupal API in Drupal 6.  There's more information available on the <a href=""http://drupal.org/node/240894"" title=""Call to undefined function drupal_submit_form in Drupal 6 when user submits a comment"">bug report</a> over at <a href=""http://drupal.org"">Drupal.org</a>."
Multiplicity in Computing Environments,NULL,"Multiplicity.  The Merriam-Webster Online Dictionary defines multiplicity thus:

<blockquote cite=""http://www.merriam-webster.com/dictionary/multiplicity"">
<p>Multiplicity, noun</p>
<ol>
  <li><b>a</b>: the quality or state of being multiple or various <b>b</b>: the number of components in a system (as a multiplet or a group of energy levels)</li>
  <li>a great number</li>
</ol></blockquote>

Multiplicity is not something new to computer science or computing environments; indeed, parallel computing (processing with multiple, simultaneously-executing processes) <a href=""http://en.wikipedia.org/wiki/Parallel_computing#History"" title=""Wikipedia article on Parallel Computing"">seems to date back to Babbage's Analytic Engine</a>.  And every time it's introduced, it benefits the end user in some way.
<!--break-->
Some classes of user, such as financial traders, have long had multiple displays attached to a single computer to allow them to view multiple pieces of information at the same time. I have two displays attached to my computer at work for this very reason: I can have a piece of research or the current build of the website open in a web browser on one screen and the code on which I'm working on the other.  I'd like a similar set-up at home, when I can afford it.  Ideally, I'd have three monitors in both situations; not because I'm greedy, but because this model more neatly matches the mental model of a ""grid"" of displays.  A 3x1 grid of monitors provides much more flexibility than a 2x1 grid.  As Jeff Atwood puts it in his Coding Horror blog post, <a href=""http://www.codinghorror.com/blog/archives/000740.html"" title=""Joining the Prestigious Three Monitor Club"">Joining the Prestigious Three Monitor Club</a>:
<blockquote cite=""http://www.codinghorror.com/blog/archives/000740.html"">
As good as two monitors is, three monitors is even better. With three monitors, there's a ""center"" to focus on. And 50% more display area. While there's certainly a point of diminishing returns for additional monitors, I think three is the sweet spot&hellip;I don't care how large a single display can be; you can <em>never</em> have enough desktop space. 
</blockquote>

Multiple-cored processors have broken into the mainstream in the last few years.  Previously only limited to servers requiring high availability or processing power, or high-performance computing applications, it's now easier to pick up a dual-core computer than it is a single-core computer.  Quad-core (and tri-core too) processors are starting to get a decent foothold, and <a href=""http://www.reghardware.co.uk/2008/06/03/intel_nehalem_roadmap_update/"" title=""Intel lengthens first-gen 'Nehalem' CPU shelf life?"">in about 18 months we should be seeing six-core chips from Intel</a>.  Multi-core processors are not the biggest of innovations ever, but they have <a href=""http://www.hanselman.com/blog/FasterBuildsWithMSBuildUsingParallelBuildsAndMulticoreCPUs.aspx"" title=""Faster Builds with MSBuild using Parallel Builds and Multicore CPUs"">vastly improved the user's capacity for multi-tasking</a>.  Well-written software that properly takes advantage of the many-core architectures now prevalent in the marketplace is starting to come into being, such as Adobe's Creative Suite product (I believe this has had decent multi-core support since CS3) and Microsoft's MSBuild (MSBuild 3.5 processes your command-line builds in parallel where it can, providing a fair bit of speed-up unless your solution's projects form a linear dependency).

Tabbed browsing, first introduced into Opera, adopted more widely in Firefox 1.0 and then, eventually, Internet Explorer 7, brought multiplicity to the web browser.  I started using Firefox in 2003/2004 when it was still pre-release and called ""Firebird"", and I've never gone back to Internet Explorer, partly for the enhanced security and wealth of features Firefox provides over Internet Explorer, but the killer feature that stopped me straying was the tabbed browsing.  I can have multiple web pages open without filling up my task bar with multiple windows!

Early versions of Office, amongst a herd of other applications, utilised the <abbr title=""Multiple Document Interface"">MDI</abbr> model, which hosted multiple documents in one application window.  I believe usability studies found that most end users expected to be able to switch between documents using the more standard Alt+Tab key combination, so <abbr title=""Multiple Document Interface"">MDI</abbr> model was replaced with the <abbr title=""Single Document Interface"">SDI</abbr> model in Office 2000, but I firmly believe that had there been a quick and easy-to-remember shortcut for switching between documents, we would still be using the <abbr>MDI</abbr> model today.  

This week I purchased a copy of <a href=""http://www.cubedesktop.com/"" title=""CubeDesktop - 3D realtime virtual desktop manager and task switcher"">Cube Desktop</a> for use at work.  This natty piece of software allows me to run multiple desktop environments within Windows; it creates up to six desktops (one of each face of the cube), does some funky semi-customisable <a href=""http://www.cubedesktop.com/images/screenshots/1.jpg"">3</a>-<a href=""http://www.cubedesktop.com/images/screenshots/2.jpg"">d</a> <a href=""http://www.cubedesktop.com/images/screenshots/3.jpg"">transitions</a> between the desktops, and provides an <a href=""http://www.cubedesktop.com/images/screenshots/5.jpg"">overview</a> of all your running applications, on all desktops.  

Mac and Linux users can feel free to snigger at this point: Windows Vista is a modern operating system (whatever the views of its critics and detractors) and it <em>still</em> doesn't have support for multiple workspaces.  Linux has had this feature <strong>forever</strong> (albeit without the funky 3-d transitions and application overview, although the Beryl project resolves this), and Apple has had the overview in the form of Exposé since Panther (Mac OS X 10.3), and the multiple desktops were introduced under the moniker Spaces into Leopard (Mac OS X 10.5).  What I really love about Exposé, and I haven't tested this on CubeDesktop yet, is the ability to interact (albeit to a limited extent) with the applications in preview mode.  For example, I can drag-and-drop a file from one folder to another whilst Exposé is running.  

The Pro edition of CubeDesktop is less than €20 (~£16), and it's really very good.  I now have separate workspaces to organise my daily activities at work; this tiny little change has vastly improved my productivity through the simple separation of concerns.  I'd like one desktop for admin (checking emails, writing my status report, etc.), please.  Check.  I'd like another one for development (running Perforce, Visual Studio, Firefox/IE, PowerShell).  Sure thing.  Maybe a separate one for running my debug environments.  No problem; have four!

This made me think about what other multiplicity I'd like to see, and I hit on the idea of multiple clipboards; in fact, Microsoft Office has supported this since Office 2000, and for me it was one of the best new features of that release.  Presumably, though, it broke the user's mental model of the clipboard as it appears to have been quietly hidden in Office 2007: to enable it, you now have to click that tiny little pop-out icon on the Clipboard area of the Home tab of the ribbon.  There's a mouthful for you; let's try a screenshot:

[img_assist|nid=10|title=|desc=|link=none|align=none|width=494|height=640]

Subtle, huh?  This is application specific, though (although I believe it's supported across Office applications); what I'd like is for something like this to hijack the global clipboard and be available for all applications.  It would need a small, unobtrusive window to display the items on the clipboard, and the clipboard could hold either a configurable maximum number of items, or as much information as the computer's memory would allow.  A handy short-cut key combination &mdash; [Flag] + V, perhaps &mdash; would display this window and give it focus so that I could select items with the arrow keys on the keyboard, or using the number keys as an index to the list of items.  The window should display a small preview of the items on the clipboard (e.g., a thumbnail of an image, or the first few words of a bit of text), with a larger preview displayed to the side of the item when it is selected.  The clipboard window would be closed by selecting an item (and thereby pasting it into the application you're using), or by hitting Escape to avoid inserting an item.  

I think the trickiest bit of this implementation would be keeping a handle on the previously-focused application window.  That being said, I might have found project number 3...

I'd be interested to hear what people would like to see multiple things of in their computing environment that they don't already have."
Curriculum Vitae,NULL,
Bassoon Curriculum Vitae,,"I have been playing bassoon since 1997.  Within a year I had obtained Grade 4 with distinction, and I achieved Grade 8 in 2001.  I was awarded a DipABRSM in Performance in the summer of 2009.  I am currently studying with Tom Hardy in London.  

My sight-reading is of a high standard, and when required I am able to play performances at sight.  For example, I have performed Debussy's <em>Pr&eacute;lude &agrave; l'Apr&egrave;s-Midi d'un Faune</em> and Elgar's 'cello concerto at sight, and Mozart's clarinet concerto and Stravinsky's <em>The Rite of Spring</em> on a single rehearsal.  

I have performed in both orchestras and operatic productions.  My orchestral experience encompasses the following ensembles, in which I have played first, second and contrabassoon (although please note that I do not own a contrabassoon).  With the exception of the Cambridge Graduate Orchestra, I held the position of principal bassoonist in each orchestra for at least three years.  
<dl>
  <dt>2012-date</dt> <dd><a href=""http://www.huntsphil.org.uk/"" title=""Huntingdonshire Philharmonic"">Huntingdonshire Philharmonic Orchestra</a> (not contrabassoon)</dd>
  <dt>2010-date</dt> <dd><a href=""http://homepage.ntlworld.com/shug0131/"" title=""Cambridge Symphonic Winds"">Cambridge Symphonic Winds</a></dd>
  <dt>2009-date</dt> <dd><a href=""http://www.cambridgegraduateorchestra.com/"" title=""Cambridge Graduate Orchestra (CGO)"">Cambridge Graduate Orchestra</a> (not contrabassoon)</dd>
  <dt>2003-2007</dt> <dd><a href=""http://www.uwso.co.uk/"" title=""University of Warwick Symphony Orchestra (UWSO)"">University of Warwick Symphony Orchestra (UWSO)</a></dd>
  <dt>2001-2004</dt> <dd><a href=""http://www.popsincorporated.co.uk/"" title=""Pops Incorporated UK (formerly Southampton Pops Orchestra)"">Southampton Pops Orchestra</dd>
  <dt>2000-2003</dt> <dd><a href=""http://www.waso.hampshire.org.uk/orchestra.html"">Winchester Youth Orchestra</a></dd>
  <dt>1999-2003</dt> <dd><a href=""http://www.southamptonmusic.org.uk/ensembles/soton_youth_orc.asp"" title=""Southampton Youth Orchestra"">Southampton Youth Orchestra</a></dd>
</dl>

I am generally looking for freelance-type performance opportunities on a reasonable expenses-contribution basis, but would gladly take on longer-term tenures with an ensemble or production.  I am usually able to dep at relatively short notice, and am a competent and reliable deputy.  I can travel easily within the South Cambridgeshire area; travel over greater distances would normally be subject to negotiation of expenses.  

Please send me an email via the <a href=""/contact"" title=""Contact Form"">contact form</a> if you are short of a bassoonist for your concert or production.  You can also check out my profiles on <a href=""http://www.freelance-musicians.info/musicians/231/?"" title=""Freelance Musicians"">freelance-musicians.info</a> and <a href=""http://www.musiconnections.co.uk/enhanced_musician.php?id=146"" title=""Musiconnections"">Musiconnections</a>.  I'm also contactable through the <a href=""http://www.classicalmusichomepage.com/diaryservice"" title=""CMH Diary Service"">Classical Music Homepage's Diary Service</a>.
<!--break-->
My experience of the orchestral repertoire is broad.  Parts I have played include:
<ul>
  <li>First bassoon in Beethoven's <em>Symphony No. 9</em>; second bassoon in <em>Symphony No. 3</em> and <em>Symphony No. 7</em></li>
  <li>First bassoon in the World Premiere of Jonathan Dove's <em>Airport Scenes</em></li>
  <li>First and second bassoon in each of Tchaikovsky's <em>Symphonies No. 5</em> and <em>6</em>, and <em>Romeo and Juliet</em></li>
  <li>First bassoon in Shostakovich's <em>Jazz Suite No. 2</em>; Holst's <em>The Planets</em>; Vaughn Williams' <em>Hodie</em> and <em>Symphony No. 5</em>; Gershwin's <em>An American in Paris</em></li>
  <li>First bassoon in various film/jazz/TV/pop music including much of John Williams' repertoire, music by Queen, The Beatles, Leroy Anderson and others</li>
  <li>First bassoon in Sibelius' <em>Symphony No. 5</em>; second bassoon in <em>Symphony No. 2</em></li>
  <li>Second bassoon in Stravinsky's <em>Symphony of Winds</em> and <em>The Rite of Spring</em>; Verdi's <em>Requiem</em></li>
  <li>Second bassoon in Strauss' <em>Overture to Die Fledermaus</em>; Glinka's <em>Overture to Ruslan and Ludmilla</em></li>
  <li>Third bassoon in Nielsen's <em>Symphony No. 4 ""The Inextinguishable""</em></li>
  <li>Contrabassoon in Mahler's <em>Symphonies No. 1</em> and <em>2</em>; Shostakovich's <em>Symphony No. 5</em> and <em>Festival Overture</em>; Bernstein's <em>Symphonic Dances</em> from <em>West Side Story</em></li>
</ul>

I have also performed in the following operatic productions:
<dl>
  <dt><a href=""http://www.societies.cam.ac.uk/cube/"" title=""Cambridge University Baroque Ensemble (CUBE)"">Cambridge University Baroque Ensemble (CUBE)</a></dt><dd>Jun. 2008: <em>Orfeo e Euridice</em> (Gluck)</dd>
  <dt>Unaffiliated Productions</dt>
<dd>Mar. 2008: <a href=""https://www.srcf.ucam.org/davidandgoliath/biogs.html"" title=""David and Goliath""><em>David and Goliath</em></a> (Samuel Hogarth)</dd>
  <dt><a href=""http://www.warwickstudentopera.co.uk/"" title=""Warwick Student Opera (WSO"")>Warwick Student Opera (WSO)</a></dt><dd>Feb. 2007: <em>The Merry Widow</em> (Léhar)</dd>
  <dd>Nov. 2006: <em>Trial by Jury</em> (Gilbert &amp; Sullivan)</dd>
  <dd>Jun. 2006: <em>Pirates of Penzance</em> (Gilbert &amp; Sullivan)</dd>
  <dd>Feb. 2006: <em>Orpheus in the Underworld</em> (Offenbach)</dd>
</dl>"
Freelance Musicians' Database,NULL,"I came across a useful directory of freelance musicians the other day.  Cunningly, it's called Freelance Musicians, and can be found at http://www.freelance-musicians.info.  It's UK only (currently; that may or may not change), and provides facilities for listing individuals and groups/ensembles.  You can check out my own listing at http://www.freelance-musicians.info/musicians/231/.  

It's quite a new service, and there's only 152 musicians currently listed, but go sign up and swell their numbers if you've got a musical talent to flaunt!"
